"date","name","change","Посада.в.Україні","Сфера діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","killed"
2022-11-24,"Директор департамента культуры, спорта и молодёжи г. Мелитополь","TRUE","Начальник управління культури та молоді","Молодь і культура","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-07-14,"Костянтин Зайцев","ні","Україна","-","ні"
2022-11-24,"Начальник відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Заступник начальника відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Начальник финансового управления","TRUE","Начальник фінансового управління","Фінанси","управління","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Ольга Кумоняєва ","так","Україна","-","ні"
2022-11-24,"Директор департаменту охорони здоров'я","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Начальник відділу контролю виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Начальник відділу кадрів виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Начальник відділу ведення Держреєстру виборців","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Начальник відділу виконкому з інфотехнологій і захисту інформації","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-24,"Руководитель КП ""Коммунальная собственность""","TRUE","Директор КП ""Комунальна власність""","Управління комунальною власністю","комунальне підприємство","Военно-гражданская администрация г. Мелитополь Запорожской области",2022-11-24,"Тетяна Саєнко ","-","-","-","-"
